S1,Kumar1,SK1@ucmerced.edu,yes,Probably not,Maybe,No thanks,Probably yes,Probably yes,Probably not,Probably not,Maybe,Probably not,Probably yes
S2,Kumar2,SK2@ucmerced.edu,yes,Maybe,Definitely yes,Maybe,No thanks,Probably yes,Probably yes,Probably yes,No thanks,Probably not,No thanks
S3,Kumar3,SK3@ucmerced.edu,yes,No thanks,Probably not,Definitely yes,Maybe,Definitely yes,Maybe,No thanks,Maybe,Definitely yes,Maybe
S4,Kumar4,SK4@ucmerced.edu,yes,Probably not,Maybe,Probably yes,Probably not,Maybe,Maybe,Maybe,Probably not,No thanks,Probably not
S5,Kumar5,SK5@ucmerced.edu,yes,Probably not,Probably yes,Definitely yes,Maybe,Definitely yes,No thanks,Definitely yes,Probably yes,Probably yes,Maybe
S6,Kumar6,SK6@ucmerced.edu,yes,No thanks,Probably not,Maybe,Probably not,Definitely yes,No thanks,Probably not,Definitely yes,Probably not,Definitely yes
S7,Kumar7,SK7@ucmerced.edu,yes,Definitely yes,Probably not,Probably yes,No thanks,Probably yes,Probably not,Probably yes,Definitely yes,Definitely yes,Probably not
S8,Kumar8,SK8@ucmerced.edu,yes,Definitely yes,Probably not,No thanks,Definitely yes,No thanks,Definitely yes,Probably not,Definitely yes,No thanks,Probably yes
S9,Kumar9,SK9@ucmerced.edu,yes,No thanks,Definitely yes,Probably not,Probably yes,Maybe,No thanks,Probably not,Probably not,Definitely yes,No thanks
S10,Kumar10,SK10@ucmerced.edu,yes,Definitely yes,Definitely yes,Definitely yes,No thanks,Probably yes,No thanks,Probably yes,Maybe,Definitely yes,Probably yes
Joe,Biden,biden2@ucmerced.edu,yes,Probably not,Definitely yes,Probably not,No thanks,No thanks,Probably yes,Probably not,Probably yes,Probably not,Probably yes
Jack,Daniel,daniel1@ucmerced.edu,yes,Maybe,Probably yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,No thanks,Definitely yes,Probably yes
Max,Fallor,fallor1@ucmerced.edu,yes,Probably not,Probably not,Definitely yes,Maybe,Definitely yes,Probably not,No thanks,Maybe,No thanks,Probably yes
Dev,Kumran,kumaran@ucmerced.edu,yes,No thanks,No thanks,Probably yes,Maybe,Definitely yes,Maybe,Probably not,Maybe,Probably not,Definitely yes
Shruti,Chalk,chalk@ucmerced.edu,yes,Definitely yes,No thanks,Probably not,Definitely yes,No thanks,Maybe,No thanks,Probably not,Definitely yes,No thanks
Kiran,Raja,kraj@ucmerced.edu,yes,Probably not,Probably yes,Probably not,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely yes,No thanks,Probably yes
Stefano,Forest,forest@ucmerced.edu,yes,Probably not,No thanks,No thanks,Definitely yes,Definitely yes,No thanks,Definitely yes,Maybe,Definitely yes,Probably yes
Alejandero,Gonzalas,gonzalas@ucmerced.edu,yes,No thanks,Maybe,Definitely yes,No thanks,Maybe,Probably yes,Probably not,Probably yes,No thanks,Definitely yes
DB,Xi,xi@ucmerced.edu,yes,No thanks,Probably not,Maybe,Maybe,No thanks,Maybe,Maybe,Maybe,Probably yes,Probably yes
Kiran,Raj,kraj@ucmerced.edu,yes,Maybe,Probably yes,Definitely yes,No thanks,Probably not,Probably yes,Definitely yes,Probably not,No thanks,Maybe
Bob,Smith,bsmith@ucmerced.edu,yes,Probably not,Definitely yes,Definitely yes,Maybe,No thanks,Definitely yes,Definitely yes,No thanks,Probably yes,Probably yes
Daniel,Disks,ddisks@ucmerced.edu,yes,Maybe,Maybe,Probably yes,No thanks,Definitely yes,Probably not,Probably not,Maybe,Probably yes,No thanks
Baskin,Robbins,brobbins@ucmerced.edu,yes,Probably yes,Maybe,Probably yes,Probably not,Maybe,Definitely yes,Probably yes,Probably not,Probably yes,Definitely yes
Blake,Smith,bsmith@ucmerced.edu,yes,Probably yes,No thanks,Maybe,No thanks,Maybe,Maybe,Definitely yes,Definitely yes,Probably yes,Definitely yes
Jake,Smith,jsmith@ucmerced.edu,yes,No thanks,Probably yes,Definitely yes,Maybe,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Maybe
Jake,Smith,jsmith@ucmerced.edu,yes,No thanks,Definitely yes,Probably not,No thanks,No thanks,Definitely yes,Maybe,Maybe,Maybe,Probably not
Jason,Bourne,jbourne@ucmerced.edu,yes,Maybe,Definitely yes,Definitely yes,Probably yes,No thanks,Probably not,Maybe,Definitely yes,No thanks,Probably yes
Tony,Stark,tstark@ucmerced.edu,yes,Definitely yes,No thanks,Maybe,Probably not,Definitely yes,No thanks,Definitely yes,Maybe,Probably yes,Maybe
Kim,Ly,kly@ucmerced.edu,yes,Definitely yes,Definitely yes,Definitely yes,No thanks,Definitely yes,Definitely yes,Probably yes,Maybe,Probably yes,No thanks
George,Bubbles,gbubbles@ucmerced.edu,yes,Probably not,No thanks,No thanks,No thanks,Maybe,Definitely yes,Definitely yes,No thanks,Definitely yes,Probably yes
Jon,Do,do2@ucmerced.edu,yes,Maybe,Probably not,No thanks,No thanks,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Maybe
